year,site,latitude,longitude,month,airT,precip,snowDepth,SWE,streamFlow
1998,Bison Lake ,39.76487,-107.35681,1,15,2.9,32,8.7,2030.67
1998,Bison Lake ,39.76487,-107.35681,2,16,2.3,51,14.3,1904.00
1998,Bison Lake ,39.76487,-107.35681,3,15,1.9,69,19.2,1909.33
1998,Bison Lake ,39.76487,-107.35681,4,23,3,83,25.2,2763.33
1998,Bison Lake ,39.76487,-107.35681,5,34,1,77,28.6,6601.33
1998,Red Mountain Pass,37.8918,-107.71342,1,16,3.6,30,7.1,25.70
1998,Red Mountain Pass,37.8918,-107.71342,2,1,3.5,43,10.6,20.20
1998,Red Mountain Pass,37.8918,-107.71342,3,-6,7,58,14.1,23.60
1998,Red Mountain Pass,37.8918,-107.71342,4,9,4.9,76,21.1,35.40
1998,Red Mountain Pass,37.8918,-107.71342,5,25,1.1,67,25,212.40
1999,Red Mountain Pass,37.8918,-107.71342,1,21,4.8,40,9.9,19.70
1999,Red Mountain Pass,37.8918,-107.71342,2,18,3,55,14.2,19.60
1999,Red Mountain Pass,37.8918,-107.71342,3,21,1.8,57,17.1,23.90
1999,Red Mountain Pass,37.8918,-107.71342,4,19,9.3,50,18.3,49.60
1999,Red Mountain Pass,37.8918,-107.71342,5,24,5.4,73,26.4,186.00
1999,Lost Dog,40.81588,-106.74835,1,27,8.2,36,7.8,110.40
1999,Lost Dog,40.81588,-106.74835,2,28,4.4,63,16,122.90
1999,Lost Dog,40.81588,-106.74835,3,29,1.3,66,20.4,228.10
1999,Lost Dog,40.81588,-106.74835,4,29,4.3,52,21.7,478.50
1999,Lost Dog,40.81588,-106.74835,5,30,3.9,46,22.5,1341.00
1999,Wolf Creek Summit,37.47922,-106.8017,1,21,3.5,56,18.4,67.90
1999,Wolf Creek Summit,37.47922,-106.8017,2,20,3,66,21.9,71.40
1999,Wolf Creek Summit,37.47922,-106.8017,3,24,1.7,69,24.9,200.00
1999,Wolf Creek Summit,37.47922,-106.8017,4,20,10.3,68,26.2,413.00
1999,Wolf Creek Summit,37.47922,-106.8017,5,22,4.4,88,36.4,1125.00
1999,Bison Lake ,39.76487,-107.35681,1,14,1.6,30,7.4,1674.67
1999,Bison Lake ,39.76487,-107.35681,2,17,2.8,49,13.6,1454.00
1999,Bison Lake ,39.76487,-107.35681,3,21,1.4,54,17.8,1324.67
1999,Bison Lake ,39.76487,-107.35681,4,20,2.8,50,19.2,1714.67
1999,Bison Lake ,39.76487,-107.35681,5,28,3,70,26.6,2844.67
1999,Dry Lake,40.53397,-106.7813,1,27,7.1,26,4.9,110.40
1999,Dry Lake,40.53397,-106.7813,2,23,4.3,47,11.8,122.90
1999,Dry Lake,40.53397,-106.7813,3,21,2.2,52,16.1,228.10
1999,Dry Lake,40.53397,-106.7813,4,29,5.4,34,14.6,478.50
1999,Dry Lake,40.53397,-106.7813,5,30,3.8,22,11.1,1341.00
2000,Dry Lake,40.53397,-106.7813,1,11,6.2,28,6.3,114.70
2000,Dry Lake,40.53397,-106.7813,2,5,8.5,45,12.5,119.00
2000,Dry Lake,40.53397,-106.7813,3,17,4.2,65,21,193.60
2000,Dry Lake,40.53397,-106.7813,4,21,3.4,57,23.4,658.30
2000,Dry Lake,40.53397,-106.7813,5,26,4,25,11.4,2079.00
2000,Bison Lake ,39.76487,-107.35681,1,12,2.2,17,4,1446.00
2000,Bison Lake ,39.76487,-107.35681,2,21,3.7,39,10.4,1458.67
2000,Bison Lake ,39.76487,-107.35681,3,20,2.8,61,17.3,1484.00
2000,Bison Lake ,39.76487,-107.35681,4,30,1.1,71,22.6,2124.67
2000,Bison Lake ,39.76487,-107.35681,5,38,1.8,52,21.9,6499.33
2000,Wolf Creek Summit,37.47922,-106.8017,1,18,2.9,6,1.1,46.50
2000,Wolf Creek Summit,37.47922,-106.8017,2,10,7.1,21,3.7,51.20
2000,Wolf Creek Summit,37.47922,-106.8017,3,18,8.1,44,9.7,91.60
2000,Wolf Creek Summit,37.47922,-106.8017,4,14,2.4,76,17.5,506.70
2000,Wolf Creek Summit,37.47922,-106.8017,5,25,1.3,42,17.2,814.50
2000,Red Mountain Pass,37.8918,-107.71342,1,19,5,16,4,26.70
2000,Red Mountain Pass,37.8918,-107.71342,2,10,5.1,39,8.9,20.70
2000,Red Mountain Pass,37.8918,-107.71342,3,13,8.2,52,13.9,24.10
2000,Red Mountain Pass,37.8918,-107.71342,4,16,2.8,77,22.1,77.40
2000,Red Mountain Pass,37.8918,-107.71342,5,22,1.8,46,18.8,298.30
2000,Lost Dog,40.81588,-106.74835,1,22,7,26,6,114.70
2000,Lost Dog,40.81588,-106.74835,2,11,7.7,48,13,119.00
2000,Lost Dog,40.81588,-106.74835,3,22,3.4,69,20.7,193.60
2000,Lost Dog,40.81588,-106.74835,4,20,2.9,67,24,658.30
2000,Lost Dog,40.81588,-106.74835,5,35,3.8,42,19.2,2079.00
2000,Black Flat-U.M,38.6799,-111.59765,1,14,2.6,8,1.7,6.12
2000,Black Flat-U.M,38.6799,-111.59765,2,19,2.7,23,4.3,5.57
2000,Black Flat-U.M,38.6799,-111.59765,3,17,1.9,29,7,6.21
2000,Black Flat-U.M,38.6799,-111.59765,4,25,0.4,25,8.8,16.60
2000,Black Flat-U.M,38.6799,-111.59765,5,33,0.7,0,0,60.60
2001,Bison Lake ,39.76487,-107.35681,1,17,0.4,37,10.3,1170.67
2001,Bison Lake ,39.76487,-107.35681,2,15,2.9,45,12.4,1194.00
2001,Bison Lake ,39.76487,-107.35681,3,19,1.5,67,17.5,1221.33
2001,Bison Lake ,39.76487,-107.35681,4,25,4.9,63,21,1544.00
2001,Bison Lake ,39.76487,-107.35681,5,38,2.3,62,23.8,3904.67
2001,Wolf Creek Summit,37.47922,-106.8017,1,12,5.8,45,13.6,48.90
2001,Wolf Creek Summit,37.47922,-106.8017,2,0,8.6,81,19.4,50.60
2001,Wolf Creek Summit,37.47922,-106.8017,3,12,4.2,102,27.2,142.60
2001,Wolf Creek Summit,37.47922,-106.8017,4,24,8.4,91,31.4,594.40
2001,Wolf Creek Summit,37.47922,-106.8017,5,36,1.8,85,39.8,1964.00
2001,Big Sandy Opening,42.6458,-109.25965,1,15,3.6,23,2.5,54.30
2001,Big Sandy Opening,42.6458,-109.25965,2,22,3.7,47,6.1,52.10
2001,Big Sandy Opening,42.6458,-109.25965,3,25,1.7,52,9.8,60.60
2001,Big Sandy Opening,42.6458,-109.25965,4,36,1.9,68,11.4,112.20
2001,Big Sandy Opening,42.6458,-109.25965,5,43,2,62,8.1,266.40
2001,Dry Lake,40.53397,-106.7813,1,16,2.3,37,10.7,98.90
2001,Dry Lake,40.53397,-106.7813,2,9,3.7,51,12.7,129.00
2001,Dry Lake,40.53397,-106.7813,3,22,3.1,54,16.4,174.90
2001,Dry Lake,40.53397,-106.7813,4,34,2.6,42,15.9,430.00
2001,Dry Lake,40.53397,-106.7813,5,36,0.9,16,6.6,1775.00
2001,Red Mountain Pass,37.8918,-107.71342,1,11,4.1,36,9.4,24.70
2001,Red Mountain Pass,37.8918,-107.71342,2,1,4.4,58,12.9,19.20
2001,Red Mountain Pass,37.8918,-107.71342,3,9,3.9,71,16.8,18.50
2001,Red Mountain Pass,37.8918,-107.71342,4,28,5.9,66,19.9,54.10
2001,Red Mountain Pass,37.8918,-107.71342,5,29,2.7,64,22.7,391.40
2001,Beartown,37.71409,-107.51212,1,12,4.7,37,11,29.50
2001,Beartown,37.71409,-107.51212,2,-4,7.1,65,15.2,21.40
2001,Beartown,37.71409,-107.51212,3,8,4.9,81,22.3,24.80
2001,Beartown,37.71409,-107.51212,4,24,5.5,67,27.2,83.60
2001,Beartown,37.71409,-107.51212,5,30,1.9,63,30.7,406.00
2001,El Diente Park,37.78617,-108.02155,1,5,2.5,24,5,37.10
2001,El Diente Park,37.78617,-108.02155,2,0,4.4,40,7.5,37.80
2001,El Diente Park,37.78617,-108.02155,3,12,2.5,37,11.9,50.10
2001,El Diente Park,37.78617,-108.02155,4,21,4.2,40,13.5,119.70
2001,El Diente Park,37.78617,-108.02155,5,29,2.3,23,7.8,766.70
2001,Stump Lakes,37.47621,-107.63295,1,13,4.9,36,9.7,48.90
2001,Stump Lakes,37.47621,-107.63295,2,-7,4.2,68,14.2,50.60
2001,Stump Lakes,37.47621,-107.63295,3,9,4.2,71,18.4,142.60
2001,Stump Lakes,37.47621,-107.63295,4,29,4.2,69,22.6,594.40
2001,Stump Lakes,37.47621,-107.63295,5,34,1.8,60,25.1,1964.00
2001,Elkhart Park G.S.,43.00657,-109.75893,1,19,3.8,6,3.2,54.30
2001,Elkhart Park G.S.,43.00657,-109.75893,2,25,3.2,15,7,52.10
2001,Elkhart Park G.S.,43.00657,-109.75893,3,26,2.1,17,10.2,60.60
2001,Elkhart Park G.S.,43.00657,-109.75893,4,37,0.9,23,12.2,112.20
2001,Elkhart Park G.S.,43.00657,-109.75893,5,43,2,19,8.1,266.40
2001,Lost Dog,40.81588,-106.74835,1,20,1.8,43,10.2,98.90
2001,Lost Dog,40.81588,-106.74835,2,7,4.5,49,12,129.00
2001,Lost Dog,40.81588,-106.74835,3,21,3.4,59,16.5,174.90
2001,Lost Dog,40.81588,-106.74835,4,32,3.4,60,19.9,430.00
2001,Lost Dog,40.81588,-106.74835,5,42,1.6,41,17.6,1775.00
2002,Whiskey Park,41.00289,-106.90848,1,17,3,41,8.9,67.10
2002,Whiskey Park,41.00289,-106.90848,2,4,3.9,55,11.4,77.90
2002,Whiskey Park,41.00289,-106.90848,3,6,4.7,59,15.3,168.40
2002,Whiskey Park,41.00289,-106.90848,4,26,2.6,63,20,617.30
2002,Whiskey Park,41.00289,-106.90848,5,40,0.7,52,17.7,517.80
2002,Dry Lake,40.53397,-106.7813,1,19,4,31,8,87.90
2002,Dry Lake,40.53397,-106.7813,2,5,3.3,42,12,87.50
2002,Dry Lake,40.53397,-106.7813,3,11,2.9,50,15.3,105.70
2002,Dry Lake,40.53397,-106.7813,4,28,2.7,40,17,365.30
2002,Dry Lake,40.53397,-106.7813,5,37,0.6,0,2.6,742.80
2002,Phantom Valley ,40.39937,-105.84757,1,13,1.7,30,6.6,10.00
2002,Phantom Valley ,40.39937,-105.84757,2,9,2.1,34,8.3,9.66
2002,Phantom Valley ,40.39937,-105.84757,3,15,2.1,47,11.7,8.26
2002,Phantom Valley ,40.39937,-105.84757,4,30,1,38,13.9,7.15
2002,Phantom Valley ,40.39937,-105.84757,5,34,0.6,29,11.1,6.37
2002,Wolf Creek Summit,37.47922,-106.8017,1,11,1.8,29,5.3,38.30
2002,Wolf Creek Summit,37.47922,-106.8017,2,3,0.7,41,6.7,34.70
2002,Wolf Creek Summit,37.47922,-106.8017,3,19,3.7,35,7.3,54.50
2002,Wolf Creek Summit,37.47922,-106.8017,4,31,0.3,40,10,153.10
2002,Wolf Creek Summit,37.47922,-106.8017,5,33,0.2,23,10.3,158.50
2002,Blind Bull,42.964,-110.60973,1,15,3.1,43,11.4,20.00
2002,Blind Bull,42.964,-110.60973,2,18,2,55,14.5,21.80
2002,Blind Bull,42.964,-110.60973,3,20,4.5,62,16.5,21.50
2002,Blind Bull,42.964,-110.60973,4,32,3.3,65,21,66.60
2002,Blind Bull,42.964,-110.60973,5,38,2.9,59,23.1,55.90
2002,Beartown,37.71409,-107.51212,1,6,1.3,23,5.4,20.40
2002,Beartown,37.71409,-107.51212,2,-1,2.1,29,6.7,18.70
2002,Beartown,37.71409,-107.51212,3,18,3.1,34,8.7,23.90
2002,Beartown,37.71409,-107.51212,4,23,1.7,33,9.8,77.20
2002,Beartown,37.71409,-107.51212,5,29,0.7,3,1.2,178.90
2002,Stump Lakes,37.47621,-107.63295,1,9,0.4,20,3.1,38.30
2002,Stump Lakes,37.47621,-107.63295,2,0,0.7,21,3.3,34.70
2002,Stump Lakes,37.47621,-107.63295,3,20,1.6,22,3.9,54.50
2002,Stump Lakes,37.47621,-107.63295,4,29,1.1,25,5.5,153.10
2002,Stump Lakes,37.47621,-107.63295,5,30,0,2,1.8,158.50
2002,Middle Fork Camp,39.7956,-106.0273,1,18,1.7,20,3.8,51.80
2002,Middle Fork Camp,39.7956,-106.0273,2,15,1.8,25,5.4,55.00
2002,Middle Fork Camp,39.7956,-106.0273,3,23,1.3,33,7.1,121.10
2002,Middle Fork Camp,39.7956,-106.0273,4,39,0.9,26,8.1,158.90
2002,Middle Fork Camp,39.7956,-106.0273,5,44,1.3,0,0,393.20
2002,Red Mountain Pass,37.8918,-107.71342,1,5,1.4,34,8.2,17.50
2002,Red Mountain Pass,37.8918,-107.71342,2,-3,3,38,9.6,17.10
2002,Red Mountain Pass,37.8918,-107.71342,3,20,2.6,44,12.1,193.00
2002,Red Mountain Pass,37.8918,-107.71342,4,24,1.4,40,14.6,55.20
2002,Red Mountain Pass,37.8918,-107.71342,5,30,0.1,3,5.3,127.60
2002,Grizzly Peak,39.64631,-105.86973,1,17,1.4,96,4.1,3.09
2002,Grizzly Peak,39.64631,-105.86973,2,13,0.6,30,6.3,2.45
2002,Grizzly Peak,39.64631,-105.86973,3,17,1.1,39,8,1.75
2002,Grizzly Peak,39.64631,-105.86973,4,35,0.5,36,9.6,2.61
2002,Grizzly Peak,39.64631,-105.86973,5,37,0.3,0,0.4,3.84
2002,Old Battle,41.15397,-106.96937,1,12,2.9,49,10.4,67.10
2002,Old Battle,41.15397,-106.96937,2,2,3.9,53,12.4,77.90
2002,Old Battle,41.15397,-106.96937,3,1,5.4,62,16.3,168.40
2002,Old Battle,41.15397,-106.96937,4,28,4,69,20.4,617.30
2002,Old Battle,41.15397,-106.96937,5,35,1.3,74,22.9,517.80
2002,Lost Dog,40.81588,-106.74835,1,19,3.2,33,7.1,87.90
2002,Lost Dog,40.81588,-106.74835,2,7,3.6,37,10.3,87.50
2002,Lost Dog,40.81588,-106.74835,3,10,4.5,54,13.9,105.70
2002,Lost Dog,40.81588,-106.74835,4,33,2,53,18.4,365.30
2002,Lost Dog,40.81588,-106.74835,5,43,0.8,32,14.3,742.80
2002,Lake Irene ,40.41432,-105.8198,1,13,1.7,30,6.6,10.00
2002,Lake Irene ,40.41432,-105.8198,2,9,2.1,34,8.3,9.66
2002,Lake Irene ,40.41432,-105.8198,3,15,2.1,47,11.7,8.26
2002,Lake Irene ,40.41432,-105.8198,4,30,1,38,13.9,7.15
2002,Lake Irene ,40.41432,-105.8198,5,34,0.6,29,11.1,6.37
2002,El Diente Park,37.78617,-108.02155,1,5,1.5,26,5.7,29.90
2002,El Diente Park,37.78617,-108.02155,2,-5,1.4,28,6,31.80
2002,El Diente Park,37.78617,-108.02155,3,23,3.4,29,7.3,43.30
2002,El Diente Park,37.78617,-108.02155,4,24,1.5,20,6.5,99.10
2002,El Diente Park,37.78617,-108.02155,5,34,0.6,1,0,234.00
2002,Bison Lake ,39.76487,-107.35681,1,16,0.7,25,7.5,1119.27
2002,Bison Lake ,39.76487,-107.35681,2,12,1.2,38,9.9,996.47
2002,Bison Lake ,39.76487,-107.35681,3,13,2.5,44,12.8,1000.53
2002,Bison Lake ,39.76487,-107.35681,4,34,1,50,16.4,1945.33
2002,Bison Lake ,39.76487,-107.35681,5,34,0.4,38,15.2,2010.67
2003,Lookout Mountain,33.36027,-107.83122,1,37,0.4,8,1.4,28.30
2003,Lookout Mountain,33.36027,-107.83122,2,33,0.8,2,1,29.60
2003,Lookout Mountain,33.36027,-107.83122,3,37,1.7,2,0.2,83.60
2003,Lookout Mountain,33.36027,-107.83122,4,45,0.6,1,0.1,61.90
2003,Lookout Mountain,33.36027,-107.83122,5,58,0.3,1,0,29.20
2003,Buffalo Park,40.22861,-106.59528,1,18,1,21,5.2,2.03
2003,Buffalo Park,40.22861,-106.59528,2,12,0.8,26,6.9,3.56
2003,Buffalo Park,40.22861,-106.59528,3,24,0.7,174,10.3,14.58
2003,Buffalo Park,40.22861,-106.59528,4,29,1.5,35,11.5,51.07
2003,Buffalo Park,40.22861,-106.59528,5,33,2.4,29,11,157.87
2003,Whiskey Park,41.00289,-106.90848,1,30,8.7,67,17.1,80.30
2003,Whiskey Park,41.00289,-106.90848,2,20,6.1,87,25.8,115.30
2003,Whiskey Park,41.00289,-106.90848,3,25,9,82,31.9,372.60
2003,Whiskey Park,41.00289,-106.90848,4,35,3.4,89,40.9,729.90
2003,Whiskey Park,41.00289,-106.90848,5,39,2.8,74,35.8,1628.00
2003,Dry Lake,40.53397,-106.7813,1,19,2.6,27,9.2,63.20
2003,Dry Lake,40.53397,-106.7813,2,29,6,31,11.8,82.50
2003,Dry Lake,40.53397,-106.7813,3,12,5.3,42,17.8,116.70
2003,Dry Lake,40.53397,-106.7813,4,27,8.4,56,21,510.40
2003,Dry Lake,40.53397,-106.7813,5,25,3.7,49,20.1,1730.00
2003,Lost Dog,40.81588,-106.74835,1,19,4.2,42,8.6,63.20
2003,Lost Dog,40.81588,-106.74835,2,33,5.8,45,12.5,82.50
2003,Lost Dog,40.81588,-106.74835,3,13,5.3,67,18.3,116.70
2003,Lost Dog,40.81588,-106.74835,4,35,5,61,22.8,510.40
2003,Lost Dog,40.81588,-106.74835,5,27,2.8,50,22.2,1730.00
2003,Columbine ,40.3948,-106.60408,1,21,1.2,9,7.4,20.00
2003,Columbine ,40.3948,-106.60408,2,12,1.4,11,9.4,21.79
2003,Columbine ,40.3948,-106.60408,3,22,1.7,17,13.6,20.01
2003,Columbine ,40.3948,-106.60408,4,29,1.9,19,18.7,64.96
2003,Columbine ,40.3948,-106.60408,5,31,3.6,19,21.6,80.36
2003,Grizzly Peak,39.64631,-105.86973,1,22,0.8,98,6.9,2.11
2003,Grizzly Peak,39.64631,-105.86973,2,14,1.1,37,8.7,2.13
2003,Grizzly Peak,39.64631,-105.86973,3,23,1.8,58,12.2,2.05
2003,Grizzly Peak,39.64631,-105.86973,4,30,1.6,70,20.1,2.41
2003,Grizzly Peak,39.64631,-105.86973,5,33,1.7,58,21.6,4.16
2003,Bison Lake,39.76487,-107.35681,1,20,1.2,42,10,939.20
2003,Bison Lake,39.76487,-107.35681,2,11,2.3,39,11.7,911.87
2003,Bison Lake,39.76487,-107.35681,3,21,2.9,69,17.2,1087.67
2003,Bison Lake,39.76487,-107.35681,4,27,2.2,67,22.1,1229.13
2003,Bison Lake,39.76487,-107.35681,5,30,4.1,71,24.9,2154.67
2003,Silver Creek Divide,33.37106,-108.70618,1,33,0.5,13,2.7,28.30
2003,Silver Creek Divide,33.37106,-108.70618,2,29,5.4,11,3,29.60
2003,Silver Creek Divide,33.37106,-108.70618,3,32,4.2,31,6.8,83.60
2003,Silver Creek Divide,33.37106,-108.70618,4,39,0.9,25,10.2,61.90
2003,Silver Creek Divide,33.37106,-108.70618,5,49,0.4,1,0,29.20
2003,Arapaho,40.35098,-106.35098,1,22,1.5,30,4.8,2.07
2003,Arapaho,40.35098,-106.35098,2,14,1.8,36,7.6,2.20
2003,Arapaho,40.35098,-106.35098,3,24,1.6,58,12.1,2.24
2003,Arapaho,40.35098,-106.35098,4,30,1.4,72,20.5,3.42
2003,Arapaho,40.35098,-106.35098,5,32,2.3,64,24.2,6.05
2003,Wolf Creek Summit,37.47922,-106.8017,1,10,0.7,46,10,36.20
2003,Wolf Creek Summit,37.47922,-106.8017,2,28,7.2,42,10.7,41.60
2003,Wolf Creek Summit,37.47922,-106.8017,3,10,4.7,90,17.4,97.90
2003,Wolf Creek Summit,37.47922,-106.8017,4,31,3.2,77,21.6,302.90
2003,Wolf Creek Summit,37.47922,-106.8017,5,25,1.6,64,23.9,950.60
2003,Red Mountain Pass,37.8918,-107.71342,1,11,1.1,43,9.2,18.00
2003,Red Mountain Pass,37.8918,-107.71342,2,27,4.8,37,10.3,14.40
2003,Red Mountain Pass,37.8918,-107.71342,3,4,3.6,65,14.7,18.10
2003,Red Mountain Pass,37.8918,-107.71342,4,23,3.2,60,17.5,43.40
2003,Red Mountain Pass,37.8918,-107.71342,5,17,2,47,17.3,282.70
2003,Stump Lakes,37.47621,-107.63295,1,9,1.1,33,5.5,36.20
2003,Stump Lakes,37.47621,-107.63295,2,24,4.3,32,6.4,41.60
2003,Stump Lakes,37.47621,-107.63295,3,19,2.6,64,10.4,97.90
2003,Stump Lakes,37.47621,-107.63295,4,23,1.4,52,12.1,302.90
2003,Stump Lakes,37.47621,-107.63295,5,20,0.9,36,12,950.60
2003,Spring Creek,42.52516,-110.66148,1,26,4.9,45,8.8,90.90
2003,Spring Creek,42.52516,-110.66148,2,17,4.9,53,13.7,113.10
2003,Spring Creek,42.52516,-110.66148,3,26,7.3,71,18.6,126.50
2003,Spring Creek,42.52516,-110.66148,4,33,1.1,79,25.9,88.00
2003,Spring Creek,42.52516,-110.66148,5,42,1.8,60,24.6,222.20
2003,Baker butte,34.4566,-111.40643,1,40,0.6,10,2.1,0.00
2003,Baker butte,34.4566,-111.40643,2,33,9.9,1,0.1,0.00
2003,Baker butte,34.4566,-111.40643,3,38,4.1,35,5.1,0.00
2003,Baker butte,34.4566,-111.40643,4,42,0.7,2,0,0.00
2003,Baker butte,34.4566,-111.40643,5,55,0,0,0,0.00
2003,Beartown,37.71409,-107.51212,1,18,2.2,23,6.7,19.60
2003,Beartown,37.71409,-107.51212,2,22,4.9,29,8.9,17.00
2003,Beartown,37.71409,-107.51212,3,-1,2.6,55,13.8,19.30
2003,Beartown,37.71409,-107.51212,4,26,2.5,45,16,57.00
2003,Beartown,37.71409,-107.51212,5,19,2.5,25,10.4,351.10
2003,Old Battle,41.15397,-106.96937,1,14,4.5,47,9.5,80.30
2003,Old Battle,41.15397,-106.96937,2,28,6.9,52,13.5,115.30
2003,Old Battle,41.15397,-106.96937,3,10,8.9,86,20.4,372.60
2003,Old Battle,41.15397,-106.96937,4,31,5.7,97,29.3,729.90
2003,Old Battle,41.15397,-106.96937,5,23,4.4,94,34.5,1628.00
2003,Lake Irene,40.41432,-105.8198,1,18,1.8,40,9.5,3.79
